quizzes,solutions
000000000000000008507010020000000000030006000009005230060003010001800054040690007,426758193913264578587319426854132769132976845679485231768543912391827654245691387
000000000000000010500030200007000000003050620400168507008001000039026080000070006,986215473324687915571439268657392841813754629492168537768941352139526784245873196
000000000000000024600308070000000000005020098308500240000003000007046000906007801,579462183183795624624318579462839715715624398398571246251983467837146952946257831
000000000000000036102800000075040000000001940004500200040003060060702000000100500,456317829789425136132896457975248613823671945614539278248953761561782394397164582
000000000000000070034090021003040000097800000010000380000001030060500004800603507,978216453126354978534798621283145769697832145415967382759481236362579814841623597
000000000000000127009002530000000000004000981080754000000000000060089003473105000,327516849546938127819472536632891754754623981981754362298347615165289473473165298
000000000000000328203708005000000901470105086306000000500604109791000000000000000,185362794967541328243798615852476931479135286316289547538624179791853462624917853
000000000000000374000009860000000000004010007060048900071580020040000000500730001,728463519619825374435179862892357146354916287167248935971584623243691758586732491
000000000000000500048060020009003700750402008020580003000025000000700090100000300,917258436236174589548369127489613752753492618621587943374925861865731294192846375
000000000000000509403090010020000040980030105350700000000540200200003000000002801,895217463712364589463895712621958347987436125354721698138549276276183954549672831
000000000000000519000051724000000000000060042093008001006000000079103006030000450,915274368724836519368951724682417935157369842493528671246785193579143286831692457
000000000000000716000943008000000000081005000530004801000000000017000045900670030,258167493493582716176943528724816359681395274539724861362451987817239645945678132
000000000000001002604000097000060000300020000000584201006009050020000708007000003,293748516578691342614352897182963475345127689769584231836279154921435768457816923
000000000000004000040307509013000050000009002508400003000000000000278390004100280,139625748275894631846317529913782456467539812528461973782943165651278394394156287
000000000000004015015009206000000000001000098709030050000001000000062030007350600,426513879978624315315879246542987163631245798789136452263491587854762931197358624
000000000000006010076904053000000000008000070210040090000000009063001500047028060,459132786382756914176984253794865132638219475215347698521673849863491527947528361
000000000000007009854002000090000000008009007000201050000000000000078231071060084,937814625612357849854692173395786412128549367746231958483125796569478231271963584
000000000000007209201450080000000000300009000020080461000000000000008003704013620,873291546465837219291456387518674932346129758927385461139562874652748193784913625
000000000000008017001052040000007000000000509759000084600000000080000020025010390,348179265562348917971652843814597632236481579759263184693824751187935426425716398
000000000000008027004910000060000000000000300301090840059420006400005000000080075,687352914193648527524917638962834751845271369371596842759423186418765293236189475
